state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
Nevada,No,2,High School or Below,Employed,F,Rural,Married,S,2,Offer2,Branch,Four-Door Car,2
Nevada,Yes,2,College,Employed,M,Rural,Married,P,3,Offer2,Agent,Luxury,2
California,No,2,High School or Below,Unemployed,M,Suburban,Single,P,3,Offer4,Branch,Four-Door Car,1
Nevada,No,1,High School or Below,Unemployed,F,Suburban,Single,P,2,Offer3,Agent,Four-Door Car,2
Oregon,No,3,University,Unemployed,F,Rural,Married,C,3,Offer2,Branch,SUV,1
California,No,1,University,Employed,M,Urban,Married,P,1,Offer2,Branch,SUV,3
Nevada,No,2,High School or Below,Employed,M,Rural,Divorced,C,1,Offer1,Agent,Four-Door Car,2
Oregon,No,2,College,Unemployed,F,Suburban,Single,P,1,Offer2,Agent,SUV,2
Washington,Yes,1,High School or Below,Employed,F,Rural,Single,C,3,Offer2,Agent,Four-Door Car,2
Arizona,No,1,College,Unemployed,F,Suburban,Married,P,1,Offer1,Web,Four-Door Car,1
Arizona,No,1,College,Employed,M,Suburban,Married,C,3,Offer3,Agent,Four-Door Car,2
Washington,No,2,College,Employed,F,Urban,Single,P,2,Offer1,Agent,SUV,2
Arizona,No,2,College,Unemployed,F,Suburban,Married,P,3,Offer1,Agent,Two-Door Car,2
Nevada,No,1,High School or Below,Employed,F,Rural,Married,P,1,Offer3,Agent,Four-Door Car,2
California,No,1,High School or Below,Employed,F,Urban,Married,P,1,Offer2,Agent,Four-Door Car,2
Arizona,No,2,College,Unemployed,F,Suburban,Single,P,2,Offer3,Branch,SUV,2
Oregon,No,3,College,Unemployed,M,Suburban,Single,P,3,Offer1,Branch,Four-Door Car,1
Arizona,No,1,High School or Below,Other,F,Urban,Married,C,3,Offer1,Agent,Four-Door Car,2
Arizona,No,1,College,Employed,M,Suburban,Single,P,3,Offer1,Branch,Four-Door Car,2
Oregon,No,1,University,Employed,F,Urban,Married,P,2,Offer1,Agent,Four-Door Car,2
California,No,2,College,Employed,F,Suburban,Single,P,1,Offer1,Agent,Four-Door Car,2
Nevada,No,2,College,Employed,M,Suburban,Single,C,3,Offer1,Agent,Four-Door Car,2
California,No,1,University,Employed,M,Rural,Divorced,C,3,Offer1,Web,Four-Door Car,2
Arizona,No,2,University,Employed,M,Suburban,Divorced,P,2,Offer2,Branch,Four-Door Car,2
Arizona,No,1,University,Employed,M,Suburban,Married,P,3,Offer4,Branch,Four-Door Car,2
Oregon,No,3,High School or Below,Employed,M,Suburban,Married,C,1,Offer1,Branch,Four-Door Car,2
Washington,No,1,University,Other,M,Suburban,Married,P,2,Offer1,Agent,Four-Door Car,2
Oregon,Yes,2,College,Other,M,Suburban,Married,P,2,Offer2,Branch,Four-Door Car,1
California,Yes,2,University,Employed,F,Suburban,Divorced,P,1,Offer1,Agent,Luxury,2
California,No,1,College,Employed,M,Urban,Married,P,3,Offer3,Branch,SUV,2
Oregon,No,3,College,Other,F,Suburban,Married,P,1,Offer3,Call Center,Two-Door Car,2
Oregon,No,1,University,Employed,M,Rural,Married,C,2,Offer1,Branch,SUV,2
Nevada,No,1,College,Other,F,Suburban,Married,P,2,Offer1,Branch,SUV,1
Oregon,No,3,College,Employed,M,Rural,Married,P,2,Offer2,Branch,SUV,3
Washington,No,1,University,Employed,M,Rural,Married,P,2,Offer2,Web,Four-Door Car,3
Oregon,Yes,1,High School or Below,Employed,F,Urban,Married,P,3,Offer1,Agent,SUV,2
Nevada,No,1,High School or Below,Employed,F,Urban,Married,P,1,Offer4,Call Center,Four-Door Car,2
California,No,2,University,Unemployed,M,Suburban,Married,P,2,Offer1,Call Center,Four-Door Car,2
California,No,1,High School or Below,Employed,M,Suburban,Married,P,3,Offer3,Branch,SUV,2
Arizona,Yes,1,University,Employed,F,Rural,Single,C,2,Offer2,Web,Four-Door Car,2
California,No,1,College,Employed,M,Suburban,Married,P,3,Offer2,Branch,Two-Door Car,2
California,No,1,High School or Below,Employed,F,Suburban,Single,P,2,Offer1,Agent,Two-Door Car,2
Washington,Yes,1,University,Employed,F,Suburban,Married,P,1,Offer2,Agent,Four-Door Car,1
Oregon,No,1,College,Employed,F,Suburban,Married,S,3,Offer4,Branch,Four-Door Car,2
Arizona,No,1,University,Unemployed,F,Rural,Married,P,3,Offer4,Web,Four-Door Car,2
Nevada,No,1,College,Unemployed,M,Suburban,Married,P,2,Offer3,Branch,Two-Door Car,2
California,No,1,High School or Below,Employed,M,Suburban,Married,C,1,Offer1,Branch,Four-Door Car,2
Washington,No,1,High School or Below,Employed,F,Suburban,Married,P,2,Offer1,Agent,Four-Door Car,2
Arizona,No,3,College,Employed,M,Urban,Married,C,2,Offer1,Agent,Four-Door Car,2
Oregon,No,1,High School or Below,Employed,F,Suburban,Divorced,P,3,Offer1,Branch,Four-Door Car,1
Washington,No,2,High School or Below,Other,M,Suburban,Married,P,3,Offer1,Branch,Four-Door Car,2
Nevada,Yes,2,University,Unemployed,F,Suburban,Divorced,C,3,Offer1,Call Center,Two-Door Car,3
Arizona,No,1,University,Employed,F,Urban,Married,P,2,Offer1,Agent,SUV,2
Arizona,No,2,University,Employed,F,Suburban,Married,S,1,Offer1,Branch,Luxury,2
Arizona,No,1,College,Employed,F,Suburban,Married,P,2,Offer4,Branch,SUV,2
Nevada,No,1,University,Employed,F,Suburban,Divorced,P,3,Offer1,Agent,Four-Door Car,1
Nevada,No,1,University,Employed,F,Suburban,Married,P,3,Offer1,Call Center,SUV,3
Oregon,No,2,College,Employed,M,Urban,Married,P,1,Offer3,Call Center,Two-Door Car,2
Oregon,No,1,College,Employed,F,Urban,Married,C,3,Offer1,Agent,Four-Door Car,2
Arizona,No,1,University,Employed,M,Urban,Married,P,3,Offer3,Agent,Luxury,2
California,No,1,University,Employed,F,Suburban,Married,P,2,Offer4,Agent,Four-Door Car,1
Washington,No,2,High School or Below,Employed,M,Suburban,Married,P,1,Offer1,Branch,Luxury,2
Arizona,No,2,University,Employed,M,Rural,Married,P,3,Offer4,Agent,SUV,2
Oregon,No,2,University,Unemployed,M,Suburban,Single,P,3,Offer4,Call Center,Four-Door Car,2
Oregon,No,1,University,Unemployed,F,Suburban,Married,P,2,Offer1,Agent,Four-Door Car,1
Oregon,No,1,High School or Below,Employed,M,Rural,Single,P,2,Offer3,Call Center,SUV,2
Oregon,No,1,University,Employed,F,Rural,Married,S,3,Offer4,Web,Four-Door Car,2
Arizona,Yes,3,High School or Below,Employed,F,Suburban,Married,P,3,Offer2,Call Center,Two-Door Car,1
California,No,1,College,Employed,F,Suburban,Married,C,3,Offer1,Call Center,SUV,2
Arizona,No,3,College,Employed,F,Urban,Divorced,P,3,Offer1,Branch,Two-Door Car,3
California,No,1,College,Employed,F,Urban,Married,P,2,Offer1,Agent,SUV,1
California,No,1,College,Employed,F,Suburban,Divorced,C,2,Offer1,Agent,SUV,1
California,No,2,High School or Below,Unemployed,M,Rural,Married,P,2,Offer1,Agent,Four-Door Car,2
Oregon,No,1,College,Employed,F,Suburban,Married,P,1,Offer3,Agent,Four-Door Car,2
Oregon,No,2,High School or Below,Employed,M,Rural,Married,P,1,Offer3,Web,Two-Door Car,2
Washington,No,2,University,Employed,F,Rural,Married,P,3,Offer2,Call Center,SUV,2
Nevada,No,2,College,Unemployed,F,Urban,Married,P,3,Offer3,Branch,SUV,1
California,No,1,High School or Below,Unemployed,M,Suburban,Single,P,3,Offer1,Web,Luxury,1
Oregon,No,2,University,Unemployed,M,Suburban,Married,P,3,Offer1,Branch,SUV,2
Arizona,Yes,2,University,Employed,M,Urban,Married,P,3,Offer3,Agent,Four-Door Car,2
California,No,1,High School or Below,Unemployed,F,Suburban,Single,P,3,Offer1,Agent,Four-Door Car,2
California,No,1,College,Employed,F,Suburban,Single,P,3,Offer3,Agent,Luxury,1
Nevada,No,1,College,Unemployed,M,Suburban,Single,P,3,Offer1,Agent,Four-Door Car,1
Oregon,Yes,3,College,Employed,M,Suburban,Married,P,3,Offer2,Branch,Four-Door Car,2
Arizona,No,1,University,Unemployed,M,Suburban,Married,P,3,Offer3,Web,SUV,2
California,No,2,College,Unemployed,M,Suburban,Single,P,3,Offer3,Web,SUV,2
California,No,1,University,Other,M,Suburban,Married,P,3,Offer1,Agent,Four-Door Car,2
Arizona,No,1,University,Other,M,Suburban,Divorced,P,3,Offer4,Web,Four-Door Car,3
Oregon,No,2,High School or Below,Employed,F,Rural,Divorced,P,3,Offer1,Agent,Four-Door Car,2
Arizona,No,1,University,Unemployed,M,Suburban,Single,C,3,Offer2,Agent,Four-Door Car,2
Arizona,No,1,High School or Below,Unemployed,F,Rural,Married,P,1,Offer1,Branch,Four-Door Car,2
Oregon,No,1,University,Employed,M,Suburban,Married,P,3,Offer4,Agent,Two-Door Car,1
California,No,1,University,Employed,F,Urban,Married,P,3,Offer1,Call Center,Four-Door Car,2
Washington,No,1,College,Employed,F,Suburban,Married,C,2,Offer1,Agent,Four-Door Car,2
California,No,2,High School or Below,Employed,M,Suburban,Married,P,1,Offer2,Branch,Four-Door Car,2
California,Yes,1,University,Unemployed,M,Suburban,Married,P,1,Offer1,Agent,SUV,3
Oregon,No,1,College,Employed,M,Suburban,Married,C,3,Offer1,Branch,Four-Door Car,2
California,No,3,High School or Below,Unemployed,M,Suburban,Single,C,3,Offer2,Agent,Two-Door Car,1
Oregon,No,2,College,Unemployed,M,Suburban,Single,P,1,Offer3,Call Center,SUV,2
Oregon,No,1,University,Unemployed,M,Suburban,Married,P,3,Offer1,Branch,Two-Door Car,2
Arizona,No,1,College,Unemployed,M,Suburban,Single,S,2,Offer1,Agent,Four-Door Car,2
Nevada,No,1,High School or Below,Employed,M,Rural,Single,C,1,Offer4,Agent,Four-Door Car,2
Arizona,No,2,University,Employed,F,Rural,Divorced,P,2,Offer1,Call Center,SUV,2
California,No,2,University,Other,M,Suburban,Divorced,P,1,Offer3,Agent,Luxury,2
Arizona,No,1,High School or Below,Employed,M,Rural,Married,P,2,Offer2,Agent,SUV,2
California,No,3,College,Employed,M,Suburban,Married,C,1,Offer1,Branch,Luxury,2
California,No,1,College,Employed,M,Urban,Married,P,2,Offer4,Branch,Four-Door Car,2
Oregon,No,1,High School or Below,Unemployed,M,Suburban,Married,P,3,Offer4,Web,Two-Door Car,2
Oregon,No,2,College,Unemployed,F,Suburban,Single,C,3,Offer1,Branch,Four-Door Car,1
Oregon,No,2,University,Employed,M,Urban,Single,P,2,Offer1,Agent,SUV,2
Nevada,No,2,High School or Below,Unemployed,M,Suburban,Single,S,3,Offer3,Agent,Four-Door Car,1
Oregon,No,2,University,Unemployed,M,Suburban,Married,S,2,Offer2,Agent,Two-Door Car,2
Arizona,No,2,University,Employed,M,Rural,Single,P,3,Offer3,Web,Four-Door Car,3
Oregon,No,1,University,Other,M,Suburban,Single,C,3,Offer3,Branch,Four-Door Car,2
Washington,No,1,High School or Below,Unemployed,F,Suburban,Single,P,3,Offer2,Web,SUV,1
Oregon,No,1,College,Employed,F,Suburban,Married,P,2,Offer2,Agent,Four-Door Car,2
Nevada,No,1,College,Unemployed,M,Suburban,Single,P,3,Offer1,Call Center,SUV,3
Oregon,No,1,College,Employed,F,Suburban,Married,P,3,Offer2,Call Center,Luxury,3
California,No,1,University,Employed,F,Urban,Married,P,3,Offer3,Call Center,Four-Door Car,1
Arizona,No,1,High School or Below,Unemployed,M,Suburban,Married,C,2,Offer1,Branch,SUV,2
California,No,1,College,Other,F,Suburban,Single,P,1,Offer2,Agent,Luxury,2
Arizona,No,1,College,Employed,F,Rural,Married,P,3,Offer3,Branch,Four-Door Car,1
California,No,1,High School or Below,Employed,F,Suburban,Single,P,3,Offer1,Branch,Four-Door Car,2
California,No,1,University,Employed,M,Rural,Married,P,2,Offer2,Call Center,SUV,2
Oregon,Yes,2,University,Other,F,Suburban,Divorced,P,3,Offer2,Call Center,Four-Door Car,2
Oregon,Yes,1,High School or Below,Employed,M,Suburban,Married,P,3,Offer2,Agent,Four-Door Car,1
Washington,Yes,3,University,Employed,F,Suburban,Single,P,2,Offer1,Branch,Two-Door Car,2
Oregon,No,2,University,Employed,F,Urban,Married,P,2,Offer1,Branch,SUV,2
California,No,1,High School or Below,Employed,M,Rural,Married,P,2,Offer1,Agent,Four-Door Car,2
California,No,1,University,Unemployed,F,Suburban,Single,P,2,Offer1,Call Center,Four-Door Car,1
California,Yes,1,College,Employed,M,Rural,Married,C,2,Offer1,Branch,Four-Door Car,2
Washington,No,3,College,Employed,F,Rural,Married,P,1,Offer1,Agent,SUV,2
Oregon,No,1,University,Employed,M,Urban,Married,P,1,Offer1,Agent,Four-Door Car,2
Nevada,No,2,College,Employed,M,Suburban,Married,C,3,Offer1,Agent,Four-Door Car,2
Oregon,No,1,High School or Below,Unemployed,F,Suburban,Married,P,2,Offer2,Agent,Four-Door Car,2
Arizona,Yes,2,University,Other,F,Suburban,Divorced,P,3,Offer2,Call Center,Four-Door Car,2
Nevada,No,1,College,Employed,F,Rural,Divorced,P,2,Offer1,Branch,Four-Door Car,1
Oregon,No,2,University,Employed,F,Rural,Married,P,3,Offer4,Branch,Four-Door Car,2
Nevada,No,1,High School or Below,Other,F,Suburban,Married,P,1,Offer2,Branch,SUV,3
Oregon,No,2,College,Other,M,Suburban,Single,P,3,Offer1,Call Center,Two-Door Car,2
Arizona,Yes,3,University,Other,F,Suburban,Divorced,P,3,Offer1,Web,SUV,2
Nevada,No,2,High School or Below,Employed,M,Urban,Married,P,1,Offer2,Agent,Four-Door Car,2
Oregon,No,1,University,Employed,F,Suburban,Married,P,2,Offer2,Agent,Four-Door Car,1
Arizona,No,1,High School or Below,Other,M,Suburban,Married,P,2,Offer2,Branch,Four-Door Car,3
Oregon,No,2,College,Employed,F,Rural,Married,P,3,Offer2,Web,Four-Door Car,1
Oregon,No,1,University,Unemployed,F,Suburban,Single,P,2,Offer1,Branch,Four-Door Car,2
California,No,2,College,Employed,M,Suburban,Married,P,3,Offer2,Call Center,Four-Door Car,1
Oregon,No,2,University,Unemployed,M,Urban,Single,P,3,Offer1,Branch,Four-Door Car,2
Arizona,Yes,2,High School or Below,Unemployed,F,Suburban,Married,P,3,Offer1,Agent,Four-Door Car,3
Arizona,No,1,High School or Below,Employed,F,Suburban,Married,P,1,Offer2,Web,Two-Door Car,2
Arizona,No,1,University,Employed,F,Urban,Divorced,P,3,Offer4,Web,SUV,2
Oregon,No,2,High School or Below,Employed,F,Suburban,Single,P,2,Offer1,Branch,Two-Door Car,2
Arizona,Yes,1,High School or Below,Other,M,Suburban,Married,P,1,Offer1,Web,Luxury,2
Oregon,No,1,College,Employed,F,Urban,Married,P,3,Offer2,Call Center,SUV,2
California,No,1,College,Employed,F,Suburban,Married,P,1,Offer2,Branch,Four-Door Car,2
California,No,1,University,Employed,F,Suburban,Single,P,3,Offer1,Agent,Two-Door Car,1
Arizona,No,1,High School or Below,Employed,F,Suburban,Married,P,3,Offer3,Call Center,Two-Door Car,1
Arizona,No,1,College,Employed,M,Rural,Married,C,3,Offer2,Branch,Four-Door Car,2
California,No,3,University,Employed,M,Urban,Married,P,2,Offer1,Agent,Four-Door Car,2
Washington,Yes,1,High School or Below,Employed,M,Rural,Married,P,3,Offer2,Agent,Two-Door Car,2
Arizona,No,1,University,Employed,F,Suburban,Married,P,3,Offer2,Agent,Four-Door Car,1
California,No,1,High School or Below,Employed,M,Suburban,Divorced,P,2,Offer3,Agent,Four-Door Car,2
Nevada,No,1,High School or Below,Employed,F,Suburban,Married,P,2,Offer4,Branch,Four-Door Car,1
Arizona,No,1,College,Unemployed,F,Suburban,Married,S,3,Offer3,Branch,SUV,2
Oregon,No,1,High School or Below,Employed,M,Rural,Divorced,P,2,Offer4,Branch,Two-Door Car,2
California,No,1,University,Employed,M,Urban,Married,P,3,Offer1,Agent,SUV,2
California,No,1,University,Employed,M,Suburban,Married,S,2,Offer1,Call Center,Four-Door Car,1
Nevada,No,1,High School or Below,Unemployed,F,Suburban,Married,P,2,Offer1,Web,Luxury,2
Oregon,No,1,High School or Below,Other,F,Urban,Married,P,1,Offer1,Agent,Four-Door Car,2
Nevada,No,2,University,Employed,M,Suburban,Married,P,3,Offer1,Agent,Four-Door Car,3
Arizona,No,1,University,Employed,F,Rural,Single,P,3,Offer1,Agent,SUV,3
Washington,No,1,University,Employed,M,Suburban,Married,P,2,Offer3,Call Center,Two-Door Car,1
Oregon,No,3,University,Employed,F,Suburban,Married,P,3,Offer3,Agent,Two-Door Car,2
Arizona,No,2,University,Employed,M,Rural,Married,P,2,Offer4,Agent,Four-Door Car,3
California,No,1,College,Employed,M,Urban,Married,P,2,Offer2,Branch,Two-Door Car,1
California,No,1,College,Employed,M,Suburban,Married,P,3,Offer2,Web,SUV,2
Oregon,No,2,University,Other,M,Suburban,Divorced,P,3,Offer1,Web,Two-Door Car,2
California,No,1,High School or Below,Employed,F,Suburban,Married,P,3,Offer3,Web,Four-Door Car,2
California,No,1,High School or Below,Employed,M,Suburban,Married,P,3,Offer3,Agent,Luxury,3
Arizona,No,1,University,Other,M,Suburban,Married,P,1,Offer1,Call Center,Four-Door Car,2
Oregon,No,1,High School or Below,Employed,M,Rural,Married,P,1,Offer1,Call Center,Four-Door Car,2
California,No,2,High School or Below,Unemployed,M,Suburban,Married,C,3,Offer3,Agent,Four-Door Car,1
Washington,Yes,1,University,Unemployed,F,Suburban,Married,C,3,Offer1,Call Center,Four-Door Car,2
Arizona,No,3,High School or Below,Unemployed,M,Suburban,Divorced,C,2,Offer1,Agent,Four-Door Car,1
Oregon,No,1,High School or Below,Employed,M,Rural,Divorced,P,2,Offer1,Branch,Four-Door Car,2
California,No,1,College,Employed,M,Rural,Married,P,2,Offer4,Agent,Four-Door Car,1
Arizona,No,1,College,Unemployed,M,Suburban,Single,P,2,Offer1,Agent,Four-Door Car,1
Arizona,No,1,College,Unemployed,M,Urban,Married,P,2,Offer1,Agent,Two-Door Car,2
Arizona,No,1,High School or Below,Employed,F,Rural,Married,P,1,Offer1,Agent,Four-Door Car,2
Oregon,No,3,University,Unemployed,F,Rural,Married,P,3,Offer3,Branch,Four-Door Car,2
California,No,2,High School or Below,Employed,F,Rural,Married,C,3,Offer2,Web,Luxury,2
Arizona,No,2,High School or Below,Employed,M,Suburban,Married,P,3,Offer2,Branch,Luxury,2
California,No,1,University,Employed,F,Urban,Married,S,1,Offer1,Agent,Four-Door Car,2
Arizona,No,1,High School or Below,Unemployed,M,Suburban,Single,C,1,Offer2,Agent,Four-Door Car,1
California,No,1,University,Other,F,Suburban,Divorced,C,1,Offer1,Call Center,Four-Door Car,1
Nevada,No,2,High School or Below,Employed,F,Suburban,Married,C,3,Offer1,Web,Four-Door Car,2
Oregon,Yes,2,University,Other,F,Suburban,Married,P,1,Offer2,Agent,SUV,1
Arizona,No,1,College,Other,M,Suburban,Married,C,3,Offer1,Agent,Two-Door Car,3
Nevada,No,2,University,Employed,M,Suburban,Married,C,3,Offer2,Branch,Luxury,2
Oregon,No,3,University,Employed,F,Suburban,Married,P,3,Offer3,Agent,Four-Door Car,2
Oregon,No,1,High School or Below,Employed,F,Urban,Divorced,P,2,Offer1,Call Center,Two-Door Car,2
California,No,1,High School or Below,Employed,F,Rural,Divorced,P,1,Offer2,Branch,Four-Door Car,2
Oregon,No,1,High School or Below,Unemployed,M,Suburban,Single,C,1,Offer2,Agent,Four-Door Car,2
California,No,1,College,Employed,F,Urban,Married,P,2,Offer2,Web,Two-Door Car,2
California,Yes,2,University,Employed,F,Suburban,Married,P,3,Offer2,Agent,Four-Door Car,2
Washington,No,1,University,Employed,M,Rural,Single,P,3,Offer4,Agent,Four-Door Car,3
Washington,No,2,High School or Below,Employed,F,Rural,Married,S,2,Offer4,Branch,Two-Door Car,2
Nevada,No,1,University,Other,M,Suburban,Married,P,1,Offer3,Branch,Two-Door Car,2
Oregon,No,3,High School or Below,Unemployed,F,Suburban,Single,P,2,Offer2,Branch,Four-Door Car,2
Arizona,No,1,College,Unemployed,F,Urban,Married,P,2,Offer2,Agent,Four-Door Car,2
Arizona,No,1,High School or Below,Unemployed,F,Suburban,Single,P,1,Offer1,Agent,Four-Door Car,1
California,Yes,1,University,Employed,M,Suburban,Divorced,P,2,Offer2,Branch,Two-Door Car,2
Oregon,No,1,University,Employed,M,Urban,Divorced,P,3,Offer1,Branch,Two-Door Car,2
Oregon,No,2,University,Employed,M,Rural,Married,S,3,Offer2,Branch,Four-Door Car,3
Oregon,No,1,University,Employed,F,Rural,Married,C,3,Offer4,Branch,Four-Door Car,1
California,No,2,University,Employed,F,Suburban,Married,P,2,Offer3,Call Center,SUV,2
Arizona,Yes,2,University,Employed,F,Suburban,Single,P,1,Offer2,Agent,SUV,2
California,No,1,University,Employed,M,Urban,Married,P,3,Offer3,Agent,Two-Door Car,2
Washington,No,1,College,Employed,F,Suburban,Single,P,1,Offer1,Call Center,Four-Door Car,1
Arizona,No,1,High School or Below,Employed,F,Urban,Married,P,1,Offer1,Web,Luxury,2
Arizona,No,1,University,Employed,M,Suburban,Married,P,3,Offer1,Agent,Luxury,2
Arizona,No,2,College,Employed,F,Suburban,Married,S,1,Offer2,Agent,Four-Door Car,1
California,No,2,College,Employed,F,Rural,Married,C,3,Offer2,Agent,Four-Door Car,2
California,No,1,High School or Below,Employed,F,Rural,Single,C,3,Offer3,Web,SUV,2
Oregon,No,3,High School or Below,Unemployed,M,Suburban,Divorced,P,3,Offer4,Agent,Four-Door Car,1
California,No,2,College,Unemployed,M,Suburban,Divorced,P,3,Offer1,Agent,Four-Door Car,2
Oregon,Yes,1,College,Employed,M,Suburban,Married,P,3,Offer1,Agent,SUV,2
Arizona,No,1,College,Employed,F,Rural,Married,P,3,Offer3,Branch,SUV,3
California,No,1,High School or Below,Unemployed,F,Suburban,Single,P,1,Offer2,Agent,Two-Door Car,2
Oregon,No,2,College,Employed,M,Suburban,Married,P,3,Offer1,Branch,Luxury,2
Oregon,No,1,College,Employed,M,Rural,Divorced,P,3,Offer1,Branch,SUV,1
California,No,2,University,Employed,M,Rural,Married,C,2,Offer3,Branch,Four-Door Car,2
Oregon,No,2,College,Other,F,Suburban,Divorced,C,3,Offer4,Branch,Four-Door Car,1
Arizona,No,1,High School or Below,Employed,F,Urban,Divorced,P,2,Offer2,Agent,Four-Door Car,2
Arizona,No,1,College,Unemployed,F,Suburban,Single,P,1,Offer1,Agent,Four-Door Car,1
California,No,1,University,Unemployed,M,Suburban,Married,C,3,Offer1,Agent,Four-Door Car,2
Washington,Yes,2,College,Employed,M,Suburban,Single,S,3,Offer2,Branch,Four-Door Car,2
California,Yes,1,High School or Below,Employed,M,Urban,Married,P,2,Offer2,Agent,Four-Door Car,3
California,No,1,University,Unemployed,M,Suburban,Single,P,3,Offer2,Branch,Luxury,2
Arizona,No,1,College,Employed,F,Suburban,Divorced,P,3,Offer3,Call Center,SUV,2
Oregon,No,1,University,Employed,F,Suburban,Divorced,P,2,Offer3,Branch,SUV,2
Oregon,No,2,High School or Below,Unemployed,M,Suburban,Single,P,2,Offer1,Call Center,Four-Door Car,3
Nevada,No,2,College,Employed,F,Urban,Married,C,3,Offer3,Branch,Four-Door Car,2
Oregon,No,1,University,Employed,M,Rural,Divorced,P,1,Offer3,Branch,SUV,2
California,Yes,2,College,Employed,M,Urban,Divorced,P,2,Offer2,Call Center,Four-Door Car,2
Nevada,No,1,High School or Below,Unemployed,F,Suburban,Single,P,1,Offer2,Agent,Two-Door Car,2
California,No,1,College,Employed,F,Urban,Divorced,P,2,Offer4,Agent,Two-Door Car,2
Arizona,No,3,High School or Below,Unemployed,M,Suburban,Married,P,2,Offer3,Agent,Two-Door Car,2
Arizona,No,2,University,Employed,M,Urban,Divorced,P,2,Offer1,Call Center,Luxury,1
Oregon,No,1,College,Unemployed,M,Suburban,Single,P,3,Offer4,Call Center,Two-Door Car,1
Arizona,No,2,High School or Below,Employed,M,Suburban,Divorced,C,3,Offer3,Call Center,Four-Door Car,3
Arizona,No,1,University,Employed,M,Urban,Married,C,2,Offer3,Branch,Luxury,1
Arizona,Yes,2,College,Other,M,Suburban,Single,P,1,Offer1,Agent,Four-Door Car,2
Arizona,Yes,1,College,Other,F,Suburban,Married,P,2,Offer2,Branch,Two-Door Car,3
Arizona,No,1,College,Unemployed,M,Suburban,Single,C,1,Offer2,Call Center,Four-Door Car,1
Nevada,Yes,1,University,Employed,F,Suburban,Divorced,P,2,Offer1,Web,SUV,2
Nevada,No,1,College,Unemployed,M,Rural,Married,P,2,Offer1,Branch,Luxury,1
Arizona,No,3,University,Employed,F,Suburban,Married,P,1,Offer3,Call Center,Two-Door Car,1
Washington,No,2,College,Employed,M,Suburban,Married,C,2,Offer3,Call Center,Four-Door Car,2
California,No,1,University,Unemployed,F,Rural,Married,C,2,Offer1,Branch,Four-Door Car,2
Washington,No,1,College,Employed,F,Urban,Married,P,3,Offer3,Branch,Four-Door Car,2
California,No,1,University,Unemployed,M,Rural,Married,P,1,Offer4,Web,SUV,1
California,No,1,High School or Below,Unemployed,M,Suburban,Single,P,1,Offer1,Branch,Four-Door Car,2
Oregon,No,1,University,Employed,M,Suburban,Divorced,C,1,Offer1,Call Center,Luxury,1
Oregon,No,2,University,Employed,M,Urban,Married,P,3,Offer2,Web,Four-Door Car,2
Arizona,No,1,High School or Below,Employed,F,Urban,Married,C,1,Offer2,Branch,Four-Door Car,2
Oregon,No,2,University,Unemployed,M,Suburban,Single,P,2,Offer2,Web,SUV,2
Oregon,No,1,University,Employed,M,Urban,Married,P,3,Offer1,Web,Four-Door Car,2
Oregon,No,2,High School or Below,Employed,M,Suburban,Married,C,2,Offer1,Web,Four-Door Car,1
Arizona,No,1,University,Other,F,Suburban,Married,P,3,Offer1,Call Center,Luxury,2
Arizona,No,2,University,Employed,F,Suburban,Married,P,1,Offer3,Call Center,Luxury,2
Oregon,No,3,University,Employed,F,Suburban,Divorced,P,3,Offer1,Branch,Luxury,2
California,No,1,College,Other,F,Rural,Married,P,1,Offer2,Call Center,Luxury,2
California,No,2,University,Employed,F,Rural,Married,P,3,Offer1,Agent,SUV,2
California,No,3,College,Employed,F,Rural,Divorced,P,3,Offer3,Web,Two-Door Car,2
Oregon,No,2,University,Other,M,Suburban,Married,C,2,Offer2,Web,Four-Door Car,1
Oregon,No,2,University,Unemployed,M,Suburban,Single,P,3,Offer1,Agent,Four-Door Car,2
California,No,1,High School or Below,Employed,F,Suburban,Married,P,3,Offer2,Agent,Four-Door Car,3
California,No,1,High School or Below,Employed,F,Suburban,Single,C,2,Offer1,Agent,Four-Door Car,2
Oregon,Yes,1,High School or Below,Other,M,Suburban,Married,P,3,Offer3,Web,Four-Door Car,2
California,No,1,College,Employed,F,Urban,Married,P,3,Offer3,Call Center,Two-Door Car,2
Washington,Yes,1,University,Other,M,Suburban,Divorced,P,3,Offer1,Agent,Four-Door Car,3
Washington,No,1,University,Employed,M,Suburban,Married,C,3,Offer1,Agent,SUV,2
Nevada,No,3,High School or Below,Employed,F,Rural,Married,S,2,Offer4,Branch,Four-Door Car,2
Nevada,No,1,High School or Below,Unemployed,M,Suburban,Married,P,1,Offer3,Branch,Four-Door Car,1
Oregon,No,3,College,Employed,F,Urban,Divorced,P,3,Offer2,Agent,Two-Door Car,3
Arizona,No,1,College,Unemployed,F,Suburban,Single,P,3,Offer3,Call Center,Two-Door Car,3
California,Yes,1,University,Employed,M,Rural,Single,P,1,Offer1,Agent,Luxury,2
Arizona,No,1,University,Employed,F,Suburban,Single,P,2,Offer1,Call Center,Four-Door Car,1
Oregon,No,1,University,Other,F,Rural,Married,P,3,Offer2,Branch,Four-Door Car,2
Oregon,No,1,College,Other,M,Suburban,Divorced,P,1,Offer4,Agent,Luxury,2
